player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Gabriel Paulista,5,br BRA,CB,28-012,62,0,0,0,0,0,0,0,,0,0,0,0,4,4,3,0,15,2018-2019
   Mouctar Diakhaby,12,gn GUI,CB,21-354,28,1,1,0,1,0,1,2,50.0,1,1,1,0,0,1,0,0,15,2018-2019
Ezequiel Garay,24,ar ARG,CB,32-059,90,1,0,1,0,0,0,0,,0,3,2,1,0,1,6,0,15,2018-2019
Daniel Wass,18,dk DEN,RB,29-191,90,4,2,1,3,0,4,6,66.7,2,1,0,1,0,4,2,0,15,2018-2019
Neto,13,br BRA,GK,29-142,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,15,2018-2019
Wissam Ben Yedder,9,fr FRA,FW,28-118,84,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,15,2018-2019
   Luis Muriel,14,co COL,FW,27-236,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,2018-2019
André Silva,12,pt POR,FW,23-032,90,2,1,0,2,0,0,2,0.0,2,0,0,0,0,2,2,0,15,2018-2019
Franco Vázquez,22,ar ARG,CM,29-289,76,0,0,0,0,0,0,2,0.0,2,1,1,0,3,3,1,0,15,2018-2019
   Ibrahim Amadou,5,fr FRA,CM,25-246,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,15,2018-2019
Éver Banega,10,ar ARG,CM,30-162,90,2,2,0,2,0,0,3,0.0,3,1,0,1,3,5,5,0,15,2018-2019
Pablo Sarabia,17,es ESP,CM,26-211,90,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,15,2018-2019
Sergio Escudero,18,es ESP,WB,29-097,90,0,0,0,0,0,0,1,0.0,1,3,2,1,1,1,2,0,15,2018-2019
Quincy Promes,21,nl NED,WB,26-338,90,3,3,3,0,0,3,3,100.0,0,3,1,2,4,7,1,0,15,2018-2019
