playerId,pid,nn
1780,4,Sory Kaba
1802,4,Diao
1803,2,Carreras
993,1,Grbić
1443,1,Juan Carlos
1639,1,Raúl F
1692,1,Fuzato
593,2,Víctor Díaz
1525,2,Cenk
1617,2,Curbelo
1622,2,Lemos S
1679,2,Imanol
1685,2,Gabbia
1695,2,Sinkgraven
1693,2,Gattoni
1696,2,Heyden
1702,2,Marc Pubill
1705,2,Manafá
1022,3,Álex Baena
1388,3,Toni Villa
1446,3,Ibrahima Kebé
1626,3,Mfulu
1660,3,Benavidez
1674,3,Arda Güler
1682,3,Altimira
1683,3,Javi Muñoz
1706,3,Olasagasti
1625,4,Jonathan Viera
1642,4,Diedhiou
1684,4,Herrera
1698,4,André Silva
1687,4,Jose Arnaiz
1359,5,Sergio González
1366,5,Javier Aguirre
1638,5,Garcia Pimienta
1656,5,Paco Lopez
1652,1,Adri Lopez
1665,1,Owono
1099,2,Martín
1716,3,Nico Paz
1713,4,Kone
1651,2,Miki Bosch
1661,2,Joseda
1459,3,Borja García
1718,5,Rafael Benitez Maudes
897,2,Nolaskoain
1721,3,Ibañez
1720,5,Vicente Moreno Peris
1667,1,Rodriguez
1753,1,Matias
1744,1,Carrillo
1729,2,Herrando
1728,1,Valencia
1749,1,Cañizares
1734,3,Selu Diallo
1754,3,Juanlu
1736,1,Astralaga
1756,1,Bruno Iribarne
1726,1,Gomis
1743,2,Diego Méndez
1750,1,Marrero
1747,1,Vieites
1724,2,Eguiluz
1761,2,Herzog
1739,2,Gorka
1738,3,Casadó
1760,2,Kieran Tierney
1741,3,Selvi
1755,3,Manu Bueno
1763,2,Tárrega
1730,3,Iker Muñoz
1725,4,Adu Ares
1735,4,Gagua
1742,3,Almena
1740,3,Santi
1757,4,Marezi
1732,4,De La Rosa
1762,3,Iñaki
1737,1,Kochen
1751,1,Fraga
1727,2,Kostis
1752,2,De Zárate
1764,2,Iranzo
1733,3,Ander
1746,3,Quintanilla
1767,3,Martín Tejón
1770,1,Guilherme Fernandes
1771,1,Piñeiro
1772,1,Raul
1783,1,Cuellar
1777,1,Stamatakis
1778,1,Gaizka
1775,2,Pau Cubarsi
1010,2,Andrei
1773,3,Mario
1774,3,Luna
1776,4,Mario
1789,3,Ianis Hagi
1779,4,Canós
1784,4,Douvikas
1788,4,Marí
1794,2,Ristic
1792,3,Jhon Solis
1379,4,Weissman
1796,4,Karrikaburu
1800,2,Kike Salas
1801,3,Benito J
1322,2,Torrente
1804,4,Marc Guiu
1805,5,Diego Alonso
1806,5,Miguel Ángel Tena
1807,5,Gaizka Garitano
1808,5,Alexander Medina
1356,5,Marcelino
1810,2,Yarek
1809,2,Sokratis
1811,4,Marciano
1362,5,Quique
1813,4,Carlos Vicente
1210,4,Giuliano
1814,2,Bailly
